Year,Style,Color,Retail Price,Resale - New,Resale - Pre-Owned
2023,Kelly 28,Rose Sakura,13039,23826,18621
2024,Kelly 28,Rose Sakura,13290,19483,19141
2025,Kelly 28,Rose Sakura,13997,25333,25185
2015,Kelly 28,Bleu Brume,11142,17381,18935
2016,Kelly 28,Bleu Brume,11358,27760,13787
2017,Kelly 28,Bleu Brume,11606,24669,14384
2018,Kelly 28,Bleu Brume,11907,23680,15004
2019,Kelly 28,Bleu Brume,11821,27677,17770
2020,Kelly 28,Bleu Brume,12551,28182,22186
2021,Kelly 28,Bleu Brume,12167,17825,19710
2022,Kelly 28,Bleu Brume,12311,28697,15262
2023,Kelly 28,Bleu Brume,13161,30569,25143
2024,Kelly 28,Bleu Brume,12652,29629,15871
2025,Kelly 28,Bleu Brume,12805,28760,15326
2015,Kelly 28,Vert Criquet,7019,11735,13407
2016,Kelly 28,Vert Criquet,7242,10747,8183
2017,Kelly 28,Vert Criquet,7614,10271,14990
2018,Kelly 28,Vert Criquet,7564,17413,13278
2019,Kelly 28,Vert Criquet,8120,11477,10639
2020,Kelly 28,Vert Criquet,8115,11033,11551
2021,Kelly 28,Vert Criquet,8036,13271,11829
2022,Kelly 28,Vert Criquet,9018,14046,12203
2023,Kelly 28,Vert Criquet,9318,16357,15527
2024,Kelly 28,Vert Criquet,8877,11734,11015
2025,Kelly 28,Vert Criquet,9303,16393,15528
2015,Kelly 32,Gold,9983,18308,16448
2016,Kelly 32,Gold,10150,18752,19533
2017,Kelly 32,Gold,10489,22907,11839
2018,Kelly 32,Gold,10474,23624,20888
2019,Kelly 32,Gold,11071,22697,16374
2020,Kelly 32,Gold,10888,15351,20356
2021,Kelly 32,Gold,11257,26132,16838
2022,Kelly 32,Gold,11561,18090,21959
2023,Kelly 32,Gold,11383,24683,21909
2024,Kelly 32,Gold,11619,27713,19788
2025,Kelly 32,Gold,11682,23223,15937
2015,Kelly 32,Noir,9188,17681,13706
2016,Kelly 32,Noir,9448,18651,16215
2017,Kelly 32,Noir,9760,15877,11640
2018,Kelly 32,Noir,9666,15424,14107
2019,Kelly 32,Noir,10323,18938,14092
2020,Kelly 32,Noir,10083,16706,17264
2021,Kelly 32,Noir,10404,18984,18884
2022,Kelly 32,Noir,11106,16351,21821
2023,Kelly 32,Noir,10651,25310,11885
2024,Kelly 32,Noir,11023,16549,15494
2025,Kelly 32,Noir,11217,17412,17032
2015,Kelly 32,Etoupe,10435,16237,14217
2016,Kelly 32,Etoupe,10660,19370,18430
2017,Kelly 32,Etoupe,10944,15781,21405
2018,Kelly 32,Etoupe,11000,18142,12277
2019,Kelly 32,Etoupe,11329,26187,12704
2020,Kelly 32,Etoupe,11816,29208,21152
2021,Kelly 32,Etoupe,11568,17363,22125
2022,Kelly 32,Etoupe,11804,18495,17456
2023,Kelly 32,Etoupe,11680,17033,18112
2024,Kelly 32,Etoupe,12866,30092,18398
2025,Kelly 32,Etoupe,12414,21348,22381
2015,Kelly 32,Etain,10449,21322,14108
2016,Kelly 32,Etain,10711,16615,13851
2017,Kelly 32,Etain,10999,19179,19369
2018,Kelly 32,Etain,10962,17175,15711
2019,Kelly 32,Etain,11057,23786,17450
2020,Kelly 32,Etain,11356,26491,15750
2021,Kelly 32,Etain,12216,26021,20134
2022,Kelly 32,Etain,11947,28172,14287
2023,Kelly 32,Etain,12843,31017,16459
2024,Kelly 32,Etain,12417,19139,19658
2025,Kelly 32,Etain,12639,30022,23730
2015,Kelly 32,Craie,11147,20879,18402
2016,Kelly 32,Craie,11364,25771,19716
2017,Kelly 32,Craie,11705,28279,20592
2018,Kelly 32,Craie,11856,28864,15631
2019,Kelly 32,Craie,12295,16470,13732
2020,Kelly 32,Craie,11943,27962,19543
2021,Kelly 32,Craie,12556,26771,18049
2022,Kelly 32,Craie,12260,26096,14406
2023,Kelly 32,Craie,12441,20371,15657
2024,Kelly 32,Craie,13653,23853,19513
2025,Kelly 32,Craie,13513,24671,26852
2015,Kelly 32,Nata,8631,12590,17257
2016,Kelly 32,Nata,8895,19276,15940
2017,Kelly 32,Nata,9019,13166,16686
2018,Kelly 32,Nata,9137,17069,10149
2019,Kelly 32,Nata,9478,13721,17861
2020,Kelly 32,Nata,9632,22460,10601
2021,Kelly 32,Nata,9778,24157,14927
2022,Kelly 32,Nata,10700,16283,12542
2023,Kelly 32,Nata,10995,23283,16311
2024,Kelly 32,Nata,10878,20362,17778
2025,Kelly 32,Nata,10742,18943,13882
2015,Kelly 32,Rose Sakura,8959,17060,11655
2016,Kelly 32,Rose Sakura,9240,20062,14015
2017,Kelly 32,Rose Sakura,9295,17117,11874
2018,Kelly 32,Rose Sakura,9856,19755,11563
2019,Kelly 32,Rose Sakura,9715,19306,14270
2020,Kelly 32,Rose Sakura,9935,24641,17565
2021,Kelly 32,Rose Sakura,10168,20366,13983
2022,Kelly 32,Rose Sakura,10699,23365,12533
2023,Kelly 32,Rose Sakura,10906,22174,12274
2024,Kelly 32,Rose Sakura,10594,23256,19646
2025,Kelly 32,Rose Sakura,10934,16776,21384
2015,Kelly 32,Bleu Brume,11643,29018,17042
2016,Kelly 32,Bleu Brume,11802,18991,13428
2017,Kelly 32,Bleu Brume,11972,22274,18783
2018,Kelly 32,Bleu Brume,12507,28018,20850
2019,Kelly 32,Bleu Brume,12712,21178,21376
2020,Kelly 32,Bleu Brume,12493,28057,16170
2021,Kelly 32,Bleu Brume,13235,31330,16629
2022,Kelly 32,Bleu Brume,13593,20294,22631
2023,Kelly 32,Bleu Brume,12976,30965,18095
2024,Kelly 32,Bleu Brume,13986,32855,24994
2025,Kelly 32,Bleu Brume,13500,25772,18899
2015,Kelly 32,Vert Criquet,9212,15994,10162
2016,Kelly 32,Vert Criquet,9449,15799,16037
2017,Kelly 32,Vert Criquet,9599,21266,15897
2018,Kelly 32,Vert Criquet,9906,20052,19503
2019,Kelly 32,Vert Criquet,9894,19455,15233
2020,Kelly 32,Vert Criquet,10122,20387,14716
2021,Kelly 32,Vert Criquet,10390,16311,18436
2022,Kelly 32,Vert Criquet,11145,17230,19584
2023,Kelly 32,Vert Criquet,10850,21442,21567
2024,Kelly 32,Vert Criquet,10820,23167,12646
2025,Kelly 32,Vert Criquet,11296,21701,13507
2015,Kelly Pochette,Gold,10088,21386,14122
2016,Kelly Pochette,Gold,10387,21518,13732
2017,Kelly Pochette,Gold,10617,19836,14161
2018,Kelly Pochette,Gold,10622,19081,14595
2019,Kelly Pochette,Gold,10871,21107,19879
2020,Kelly Pochette,Gold,11469,23604,21287
2021,Kelly Pochette,Gold,11479,19996,13789
2022,Kelly Pochette,Gold,11769,16851,18705
2023,Kelly Pochette,Gold,11305,26044,20243
2024,Kelly Pochette,Gold,11933,17962,20409
2025,Kelly Pochette,Gold,12808,27523,16563
2015,Kelly Pochette,Noir,9957,16049,12557
2016,Kelly Pochette,Noir,10231,22668,13430
2017,Kelly Pochette,Noir,10541,15619,20673
2018,Kelly Pochette,Noir,10490,22497,13176
2019,Kelly Pochette,Noir,10776,20088,15065
2020,Kelly Pochette,Noir,10744,14870,14841
2021,Kelly Pochette,Noir,11093,19521,17034
2022,Kelly Pochette,Noir,11713,27382,14207
2023,Kelly Pochette,Noir,11259,27560,19204
2024,Kelly Pochette,Noir,11735,27630,20427
2025,Kelly Pochette,Noir,12058,20864,19006
2015,Kelly Pochette,Etoupe,7412,15294,14378
2016,Kelly Pochette,Etoupe,7581,17941,11481
2017,Kelly Pochette,Etoupe,7933,18568,15431
2018,Kelly Pochette,Etoupe,8110,19686,14966
2019,Kelly Pochette,Etoupe,8425,14554,15163
2020,Kelly Pochette,Etoupe,8327,17700,15260
2021,Kelly Pochette,Etoupe,9142,14489,11555
2022,Kelly Pochette,Etoupe,9007,13194,17014
2023,Kelly Pochette,Etoupe,9390,17360,10545
2024,Kelly Pochette,Etoupe,8814,21474,15409
2025,Kelly Pochette,Etoupe,9202,17004,12070
2015,Kelly Pochette,Etain,11782,23134,20639
2016,Kelly Pochette,Etain,12006,25222,19522
2017,Kelly Pochette,Etain,12362,29848,22302
2018,Kelly Pochette,Etain,12456,28185,23204
2019,Kelly Pochette,Etain,12552,20254,23315
2020,Kelly Pochette,Etain,12727,29537,19193
2021,Kelly Pochette,Etain,12992,22002,19131
2022,Kelly Pochette,Etain,13760,22799,16901
2023,Kelly Pochette,Etain,13860,28973,25236
2024,Kelly Pochette,Etain,13258,20008,23506
2025,Kelly Pochette,Etain,13643,25497,16826
2015,Kelly Pochette,Craie,8353,19293,10843
2016,Kelly Pochette,Craie,8559,11988,15500
2017,Kelly Pochette,Craie,8930,17255,16005
2018,Kelly Pochette,Craie,9056,18271,17718
2019,Kelly Pochette,Craie,9399,21371,17041
2020,Kelly Pochette,Craie,9280,17126,17834
2021,Kelly Pochette,Craie,10121,24322,15760
2022,Kelly Pochette,Craie,9848,22291,15635
2023,Kelly Pochette,Craie,9588,23068,16781
2024,Kelly Pochette,Craie,10069,15740,16892
2025,Kelly Pochette,Craie,11155,15515,12608
2015,Kelly Pochette,Nata,9097,13325,16849
2016,Kelly Pochette,Nata,9328,18373,17350
2017,Kelly Pochette,Nata,9555,15373,15578
2018,Kelly Pochette,Nata,9703,15375,16437
2019,Kelly Pochette,Nata,10182,17270,12084
2020,Kelly Pochette,Nata,10216,13754,20097
2021,Kelly Pochette,Nata,10757,17114,13220
2022,Kelly Pochette,Nata,10495,14663,13491
2023,Kelly Pochette,Nata,10984,21279,17777
2024,Kelly Pochette,Nata,11318,24234,19352
2025,Kelly Pochette,Nata,11232,20464,14591
2015,Kelly Pochette,Rose Sakura,7104,16254,9245
2016,Kelly Pochette,Rose Sakura,7400,17739,12971
2017,Kelly Pochette,Rose Sakura,7581,11306,11372
2018,Kelly Pochette,Rose Sakura,7696,10940,9639
2019,Kelly Pochette,Rose Sakura,7965,12111,13029
2020,Kelly Pochette,Rose Sakura,8415,13276,10043
2021,Kelly Pochette,Rose Sakura,8337,18486,13777
2022,Kelly Pochette,Rose Sakura,8713,20658,14328
2023,Kelly Pochette,Rose Sakura,8937,15567,10449
2024,Kelly Pochette,Rose Sakura,9577,21823,18229
2025,Kelly Pochette,Rose Sakura,10094,18730,16493
2015,Kelly Pochette,Bleu Brume,7404,17090,10137
2016,Kelly Pochette,Bleu Brume,7586,17257,13610
2017,Kelly Pochette,Bleu Brume,7743,19086,11245
2018,Kelly Pochette,Bleu Brume,7947,14086,15031
2019,Kelly Pochette,Bleu Brume,8171,15213,12591
2020,Kelly Pochette,Bleu Brume,8383,19977,12852
2021,Kelly Pochette,Bleu Brume,8863,16958,15569
2022,Kelly Pochette,Bleu Brume,8480,15390,14326
2023,Kelly Pochette,Bleu Brume,9526,18744,14139
2024,Kelly Pochette,Bleu Brume,9911,15752,11862
2025,Kelly Pochette,Bleu Brume,9192,15908,17751
2015,Kelly Pochette,Vert Criquet,9575,23896,10721
2016,Kelly Pochette,Vert Criquet,9781,17564,16379
2017,Kelly Pochette,Vert Criquet,10068,20684,11266
2018,Kelly Pochette,Vert Criquet,10474,20249,12400
2019,Kelly Pochette,Vert Criquet,10209,16432,12543
2020,Kelly Pochette,Vert Criquet,10794,14474,20255
2021,Kelly Pochette,Vert Criquet,10705,16096,12602
2022,Kelly Pochette,Vert Criquet,11222,17764,20444
2023,Kelly Pochette,Vert Criquet,11048,19269,20875
2024,Kelly Pochette,Vert Criquet,11985,24562,18375
2025,Kelly Pochette,Vert Criquet,11821,18621,21027
2015,Kelly Cut,Gold,9321,15423,12677
2016,Kelly Cut,Gold,9578,23398,18638
2017,Kelly Cut,Gold,9749,18737,12572
2018,Kelly Cut,Gold,9959,15158,15821
2019,Kelly Cut,Gold,10220,23710,12041
2020,Kelly Cut,Gold,10477,24122,20890
2021,Kelly Cut,Gold,10871,18156,19668
2022,Kelly Cut,Gold,10994,19393,16806
2023,Kelly Cut,Gold,10589,22291,20605
2024,Kelly Cut,Gold,11442,18574,14271
2025,Kelly Cut,Gold,12112,18363,16060
2015,Kelly Cut,Noir,11169,17118,15543
2016,Kelly Cut,Noir,11426,16201,14162
2017,Kelly Cut,Noir,11553,22886,14588
2018,Kelly Cut,Noir,11881,26038,21223
2019,Kelly Cut,Noir,11995,23876,15291
2020,Kelly Cut,Noir,12063,28922,19878
2021,Kelly Cut,Noir,12187,17199,23938
2022,Kelly Cut,Noir,12302,29692,20949
2023,Kelly Cut,Noir,12585,29461,18300
2024,Kelly Cut,Noir,12581,17687,22896
2025,Kelly Cut,Noir,13645,23084,23955
2015,Kelly Cut,Etoupe,10984,26397,21199
2016,Kelly Cut,Etoupe,11162,18601,16912
2017,Kelly Cut,Etoupe,11404,16804,15843
2018,Kelly Cut,Etoupe,11737,26584,18315
2019,Kelly Cut,Etoupe,11957,23570,17661
2020,Kelly Cut,Etoupe,12030,18115,22448
2021,Kelly Cut,Etoupe,12244,30091,24463
2022,Kelly Cut,Etoupe,12093,24886,20225
2023,Kelly Cut,Etoupe,13178,22704,17051
2024,Kelly Cut,Etoupe,13236,30646,20612
2025,Kelly Cut,Etoupe,12776,26959,18288
2015,Kelly Cut,Etain,7833,11492,13193
2016,Kelly Cut,Etain,8075,16023,10425
2017,Kelly Cut,Etain,8223,11345,11892
2018,Kelly Cut,Etain,8304,11222,12034
2019,Kelly Cut,Etain,8473,12989,14454
2020,Kelly Cut,Etain,8768,11990,13563
2021,Kelly Cut,Etain,9514,19693,12792
2022,Kelly Cut,Etain,9807,17083,16018
2023,Kelly Cut,Etain,10209,25521,11481
2024,Kelly Cut,Etain,10416,22974,18743
2025,Kelly Cut,Etain,10243,14421,14010
2015,Kelly Cut,Craie,8392,16584,11980
2016,Kelly Cut,Craie,8689,19400,16643
2017,Kelly Cut,Craie,8778,20895,11532
2018,Kelly Cut,Craie,8887,18117,9969
2019,Kelly Cut,Craie,9481,12483,10971
2020,Kelly Cut,Craie,9283,13772,16126
2021,Kelly Cut,Craie,9715,13357,17862
2022,Kelly Cut,Craie,10475,22048,14654
2023,Kelly Cut,Craie,10412,15578,17595
2024,Kelly Cut,Craie,10424,18663,18012
2025,Kelly Cut,Craie,10914,23528,17114
2015,Kelly Cut,Nata,9978,21709,19781
2016,Kelly Cut,Nata,10211,16404,16057
2017,Kelly Cut,Nata,10568,22622,12453
2018,Kelly Cut,Nata,10756,17634,18035
2019,Kelly Cut,Nata,11039,25156,19304
2020,Kelly Cut,Nata,11276,16029,18125
2021,Kelly Cut,Nata,11532,18335,13077
2022,Kelly Cut,Nata,11626,23366,17044
2023,Kelly Cut,Nata,12041,17265,21186
2024,Kelly Cut,Nata,12086,17571,17633
2025,Kelly Cut,Nata,11947,24193,18346
2015,Kelly Cut,Rose Sakura,9886,18918,13010
2016,Kelly Cut,Rose Sakura,10093,16867,19239
2017,Kelly Cut,Rose Sakura,10272,24164,15021
2018,Kelly Cut,Rose Sakura,10575,20765,20621
2019,Kelly Cut,Rose Sakura,10525,22938,15299
2020,Kelly Cut,Rose Sakura,11290,20840,15944
2021,Kelly Cut,Rose Sakura,10828,16213,16802
2022,Kelly Cut,Rose Sakura,11877,19994,16879
2023,Kelly Cut,Rose Sakura,11353,21486,12917
2024,Kelly Cut,Rose Sakura,12359,20718,23479
2025,Kelly Cut,Rose Sakura,11431,23774,19805
2015,Kelly Cut,Bleu Brume,11231,23946,20138
2016,Kelly Cut,Bleu Brume,11393,23051,20535
2017,Kelly Cut,Bleu Brume,11734,27466,14729
2018,Kelly Cut,Bleu Brume,12057,27932,17980
2019,Kelly Cut,Bleu Brume,11993,24970,21733
2020,Kelly Cut,Bleu Brume,12660,21994,19805
2021,Kelly Cut,Bleu Brume,12319,19118,18658
2022,Kelly Cut,Bleu Brume,13051,29489,21104
2023,Kelly Cut,Bleu Brume,12976,17271,25100
2024,Kelly Cut,Bleu Brume,13821,33144,22127
2025,Kelly Cut,Bleu Brume,12866,19768,23319
2015,Kelly Cut,Vert Criquet,9988,17476,17853
2016,Kelly Cut,Vert Criquet,10258,22190,15701
2017,Kelly Cut,Vert Criquet,10330,20593,17741
2018,Kelly Cut,Vert Criquet,10617,22324,17825
2019,Kelly Cut,Vert Criquet,10894,15887,21755
2020,Kelly Cut,Vert Criquet,11232,27210,12539
2021,Kelly Cut,Vert Criquet,10993,16214,17077
2022,Kelly Cut,Vert Criquet,11192,22952,22379
2023,Kelly Cut,Vert Criquet,12255,25434,21927
2024,Kelly Cut,Vert Criquet,12214,29642,21750
2025,Kelly Cut,Vert Criquet,12946,26763,24671
2015,Constance 18,Gold,11805,28887,20211
2016,Constance 18,Gold,11985,29143,23038
2017,Constance 18,Gold,12362,27830,14285
2018,Constance 18,Gold,12653,29215,21644
2019,Constance 18,Gold,12580,26241,25055
2020,Constance 18,Gold,12927,24619,18617
2021,Constance 18,Gold,13373,29431,22602
2022,Constance 18,Gold,13415,27977,26593
2023,Constance 18,Gold,13149,32759,21130
2024,Constance 18,Gold,13353,28913,16086
2025,Constance 18,Gold,14015,23057,26993
2015,Constance 18,Noir,11780,21825,17018
2016,Constance 18,Noir,11987,24421,22856
2017,Constance 18,Noir,12232,20323,24039
2018,Constance 18,Noir,12636,26293,21569
2019,Constance 18,Noir,12489,19180,17782
2020,Constance 18,Noir,13070,29159,18581
2021,Constance 18,Noir,13266,28063,24539
2022,Constance 18,Noir,13034,19095,24262
2023,Constance 18,Noir,13127,18130,24014
2024,Constance 18,Noir,13648,18761,16994
2025,Constance 18,Noir,13516,33179,19828
2015,Constance 18,Etoupe,10262,25157,17512
2016,Constance 18,Etoupe,10514,22007,18681
2017,Constance 18,Etoupe,10576,24614,14274
2018,Constance 18,Etoupe,10974,20097,18472
2019,Constance 18,Etoupe,11114,25938,12883
2020,Constance 18,Etoupe,11468,28388,18344
2021,Constance 18,Etoupe,11200,20258,13214
2022,Constance 18,Etoupe,11954,17254,16296
2023,Constance 18,Etoupe,12417,18533,20453
2024,Constance 18,Etoupe,12046,21206,24069
2025,Constance 18,Etoupe,12530,21764,14734
2015,Constance 18,Etain,7697,11290,8610
2016,Constance 18,Etain,7950,18659,10266
2017,Constance 18,Etain,8029,12390,11134
2018,Constance 18,Etain,8198,11702,12663
2019,Constance 18,Etain,8655,20884,12969
2020,Constance 18,Etain,8691,18833,11790
2021,Constance 18,Etain,8916,15808,16916
2022,Constance 18,Etain,9314,16905,13845
2023,Constance 18,Etain,9550,20962,17886
2024,Constance 18,Etain,10393,18433,16973
2025,Constance 18,Etain,9232,20056,16640
2015,Constance 18,Craie,8784,11714,17076
2016,Constance 18,Craie,8996,17898,10404
2017,Constance 18,Craie,9250,18662,10276
2018,Constance 18,Craie,9378,20621,11027
2019,Constance 18,Craie,9596,19906,18027
2020,Constance 18,Craie,9895,24458,15884
2021,Constance 18,Craie,10194,23606,15680
2022,Constance 18,Craie,10209,23937,19757
2023,Constance 18,Craie,10005,20703,17953
2024,Constance 18,Craie,10349,21470,12787
2025,Constance 18,Craie,11772,29370,20531
2015,Constance 18,Nata,11622,22706,22747
2016,Constance 18,Nata,11852,23642,15461
2017,Constance 18,Nata,12199,22713,14477
2018,Constance 18,Nata,12266,29832,16749
2019,Constance 18,Nata,12665,25972,14635
2020,Constance 18,Nata,13021,30255,24611
2021,Constance 18,Nata,12529,18743,20599
2022,Constance 18,Nata,13148,21728,21015
2023,Constance 18,Nata,13182,18844,15567
2024,Constance 18,Nata,14274,24484,24664
2025,Constance 18,Nata,13522,30176,19797
2015,Constance 18,Rose Sakura,10806,26163,14677
2016,Constance 18,Rose Sakura,10993,18215,16585
2017,Constance 18,Rose Sakura,11266,23486,15224
2018,Constance 18,Rose Sakura,11570,28668,17529
2019,Constance 18,Rose Sakura,11420,23450,16074
2020,Constance 18,Rose Sakura,11973,21864,15869
2021,Constance 18,Rose Sakura,11860,23134,20028
2022,Constance 18,Rose Sakura,12733,31074,21529
2023,Constance 18,Rose Sakura,12096,20830,15353
2024,Constance 18,Rose Sakura,12653,26352,22138
2025,Constance 18,Rose Sakura,12734,16962,15961
2015,Constance 18,Bleu Brume,8572,17582,9658
2016,Constance 18,Bleu Brume,8819,11676,16274
2017,Constance 18,Bleu Brume,9090,19761,12707
2018,Constance 18,Bleu Brume,9366,21498,13685
2019,Constance 18,Bleu Brume,9258,19427,16768
2020,Constance 18,Bleu Brume,9698,18021,13677
2021,Constance 18,Bleu Brume,9612,16900,11757
2022,Constance 18,Bleu Brume,10013,13546,12480
2023,Constance 18,Bleu Brume,10116,24529,13804
2024,Constance 18,Bleu Brume,11157,27614,17261
2025,Constance 18,Bleu Brume,11191,22622,19681
2015,Constance 18,Vert Criquet,7439,16452,14260
2016,Constance 18,Vert Criquet,7595,14879,14281
2017,Constance 18,Vert Criquet,8031,19110,15504
2018,Constance 18,Vert Criquet,8133,12031,14103
2019,Constance 18,Vert Criquet,8574,21132,13737
2020,Constance 18,Vert Criquet,8274,13428,10887
2021,Constance 18,Vert Criquet,8473,12330,14373
2022,Constance 18,Vert Criquet,9068,19789,15664
2023,Constance 18,Vert Criquet,9192,19433,11017
2024,Constance 18,Vert Criquet,9802,17664,11210
2025,Constance 18,Vert Criquet,10139,25074,16754
2015,Constance 24,Gold,10686,21527,16364
2016,Constance 24,Gold,10925,20179,18352
2017,Constance 24,Gold,11257,26490,17863
2018,Constance 24,Gold,11466,18407,15324
2019,Constance 24,Gold,11578,22391,16587
2020,Constance 24,Gold,11508,19506,13248
2021,Constance 24,Gold,12076,27729,22626
2022,Constance 24,Gold,12341,17845,21304
2023,Constance 24,Gold,12353,17868,16253
2024,Constance 24,Gold,12952,31303,19324
2025,Constance 24,Gold,13282,30301,16288
2015,Constance 24,Noir,10993,14467,18288
2016,Constance 24,Noir,11247,22372,14909
2017,Constance 24,Noir,11548,19580,20975
2018,Constance 24,Noir,11782,28164,12976
2019,Constance 24,Noir,11800,22936,20307
2020,Constance 24,Noir,11788,15672,22131
2021,Constance 24,Noir,12225,28197,20288
2022,Constance 24,Noir,12075,16374,20897
2023,Constance 24,Noir,12440,24153,15088
2024,Constance 24,Noir,13430,21861,21535
2025,Constance 24,Noir,13944,25040,16955
2015,Constance 24,Etoupe,8504,15510,16219
2016,Constance 24,Etoupe,8755,16432,16753
2017,Constance 24,Etoupe,9066,12935,16632
2018,Constance 24,Etoupe,9310,21525,17016
2019,Constance 24,Etoupe,9495,21734,10517
2020,Constance 24,Etoupe,9426,22436,16649
2021,Constance 24,Etoupe,9799,22769,12646
2022,Constance 24,Etoupe,10046,24437,15269
2023,Constance 24,Etoupe,10082,20165,20001
2024,Constance 24,Etoupe,10562,25897,15272
2025,Constance 24,Etoupe,10688,18726,17630
2015,Constance 24,Etain,9959,14407,15217
2016,Constance 24,Etain,10152,22868,16787
2017,Constance 24,Etain,10540,18074,17132
2018,Constance 24,Etain,10823,17080,18567
2019,Constance 24,Etain,10930,19893,17376
2020,Constance 24,Etain,10871,24474,20691
2021,Constance 24,Etain,11298,25133,21171
2022,Constance 24,Etain,11095,21884,19421
2023,Constance 24,Etain,11775,18388,18963
2024,Constance 24,Etain,11781,27467,19749
2025,Constance 24,Etain,12654,26465,18791
2015,Constance 24,Craie,8118,16951,11875
2016,Constance 24,Craie,8348,15241,14498
2017,Constance 24,Craie,8595,18330,9565
2018,Constance 24,Craie,8703,12637,17177
2019,Constance 24,Craie,8739,19809,13424
2020,Constance 24,Craie,9005,16552,16332
2021,Constance 24,Craie,9055,22537,12853
2022,Constance 24,Craie,9569,20772,17174
2023,Constance 24,Craie,9370,14947,15340
2024,Constance 24,Craie,10235,20968,15320
2025,Constance 24,Craie,11101,21089,12536
2015,Constance 24,Nata,8976,14387,11031
2016,Constance 24,Nata,9196,15114,16527
2017,Constance 24,Nata,9507,13455,13037
2018,Constance 24,Nata,9798,18830,12536
2019,Constance 24,Nata,9748,23573,17357
2020,Constance 24,Nata,10170,15698,19872
2021,Constance 24,Nata,10119,18118,12211
2022,Constance 24,Nata,10847,25964,18085
2023,Constance 24,Nata,10588,14549,12737
2024,Constance 24,Nata,10589,13942,14455
2025,Constance 24,Nata,11689,19325,16524
2015,Constance 24,Rose Sakura,9418,15357,15245
2016,Constance 24,Rose Sakura,9649,23023,17876
2017,Constance 24,Rose Sakura,9910,14166,16004
2018,Constance 24,Rose Sakura,10093,16432,13550
2019,Constance 24,Rose Sakura,10091,18152,15716
2020,Constance 24,Rose Sakura,10318,22154,11424
2021,Constance 24,Rose Sakura,11056,20936,13479
2022,Constance 24,Rose Sakura,10929,19861,13178
2023,Constance 24,Rose Sakura,11569,27755,20523
2024,Constance 24,Rose Sakura,11144,18224,16406
2025,Constance 24,Rose Sakura,11351,22793,16226
2015,Constance 24,Bleu Brume,7257,12486,10526
2016,Constance 24,Bleu Brume,7501,14735,12159
2017,Constance 24,Bleu Brume,7775,16801,15253
2018,Constance 24,Bleu Brume,7948,15201,12558
2019,Constance 24,Bleu Brume,7864,11510,14469
2020,Constance 24,Bleu Brume,8237,16346,14852
2021,Constance 24,Bleu Brume,8637,17725,11121
2022,Constance 24,Bleu Brume,9023,16692,9999
2023,Constance 24,Bleu Brume,9233,12549,14950
2024,Constance 24,Bleu Brume,9884,24015,14229
2025,Constance 24,Bleu Brume,9581,17891,17043
2015,Constance 24,Vert Criquet,10206,20291,16099
2016,Constance 24,Vert Criquet,10399,17099,13978
2017,Constance 24,Vert Criquet,10675,24929,18797
2018,Constance 24,Vert Criquet,10724,25437,11989
2019,Constance 24,Vert Criquet,11189,23739,16642
2020,Constance 24,Vert Criquet,11071,19177,22093
2021,Constance 24,Vert Criquet,11389,28378,20218
2022,Constance 24,Vert Criquet,11832,24848,19379
2023,Constance 24,Vert Criquet,11820,23410,15445
2024,Constance 24,Vert Criquet,12363,26580,17761
2025,Constance 24,Vert Criquet,12657,28416,17543
2015,Mini Constance 14,Gold,9720,15417,17649
2016,Mini Constance 14,Gold,9870,16328,15761
2017,Mini Constance 14,Gold,10033,21006,19064
2018,Mini Constance 14,Gold,10582,23070,15869
2019,Mini Constance 14,Gold,10715,24660,12796
2020,Mini Constance 14,Gold,10547,21883,15193
2021,Mini Constance 14,Gold,11064,19755,16045
2022,Mini Constance 14,Gold,11291,15180,15016
2023,Mini Constance 14,Gold,11270,20257,15599
2024,Mini Constance 14,Gold,11584,20136,13627
2025,Mini Constance 14,Gold,11226,26536,22169
2015,Mini Constance 14,Noir,7539,17685,9768
2016,Mini Constance 14,Noir,7777,16514,14517
2017,Mini Constance 14,Noir,7855,19117,13112
2018,Mini Constance 14,Noir,8208,12733,12181
2019,Mini Constance 14,Noir,8436,20210,10046
2020,Mini Constance 14,Noir,8477,19590,10972
2021,Mini Constance 14,Noir,8991,12248,17101
2022,Mini Constance 14,Noir,8668,16383,16213
2023,Mini Constance 14,Noir,9566,16138,15137
2024,Mini Constance 14,Noir,9856,18038,11192
2025,Mini Constance 14,Noir,9081,17962,10977
2015,Mini Constance 14,Etoupe,7057,10607,13957
2016,Mini Constance 14,Etoupe,7299,14099,13350
2017,Mini Constance 14,Etoupe,7640,12019,11210
2018,Mini Constance 14,Etoupe,7743,12306,10207
2019,Mini Constance 14,Etoupe,7979,13447,9248
2020,Mini Constance 14,Etoupe,8132,14027,11302
2021,Mini Constance 14,Etoupe,8590,18623,15056
2022,Mini Constance 14,Etoupe,8847,19957,11902
2023,Mini Constance 14,Etoupe,8705,17088,9647
2024,Mini Constance 14,Etoupe,8540,15220,15653
2025,Mini Constance 14,Etoupe,9833,19380,17024
2015,Mini Constance 14,Etain,8244,14880,14222
2016,Mini Constance 14,Etain,8478,17766,10268
2017,Mini Constance 14,Etain,8706,11551,15081
2018,Mini Constance 14,Etain,8904,19720,17160
2019,Mini Constance 14,Etain,9410,15272,12026
2020,Mini Constance 14,Etain,9712,21379,18292
2021,Mini Constance 14,Etain,9612,15972,17962
